beta0,nu2,x_ini,logpost,chi2_total,chi2_sn,chi2_bao,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag,chain
0.028205509249103373,0.05152817353937355,0.07327859841869858,-719.9200773893402,1409.9567097908698,1390.418021634221,19.538688156648803,0.7003247238966922,3259.8690434431683,0.672573772821,8.180371038681013e-05,149.2626477942102,1020.8749338611531,1
0.028205509249103373,0.05152817353937355,0.07327859841869858,-719.9200773893402,1409.9567097908698,1390.418021634221,19.538688156648803,0.7003247238966922,3259.8690434431683,0.672573772821,8.180371038681013e-05,149.2626477942102,1020.8749338611531,1
0.028205509249103373,0.05152817353937355,0.07327859841869858,-719.9200773893402,1409.9567097908698,1390.418021634221,19.538688156648803,0.7003247238966922,3259.8690434431683,0.672573772821,8.180371038681013e-05,149.2626477942102,1020.8749338611531,1
0.028205509249103373,0.05152817353937355,0.07327859841869858,-719.9200773893402,1409.9567097908698,1390.418021634221,19.538688156648803,0.7003247238966922,3259.8690434431683,0.672573772821,8.180371038681013e-05,149.2626477942102,1020.8749338611531,1
0.028205509249103373,0.05152817353937355,0.07327859841869858,-719.9200773893402,1409.9567097908698,1390.418021634221,19.538688156648803,0.7003247238966922,3259.8690434431683,0.672573772821,8.180371038681013e-05,149.2626477942102,1020.8749338611531,1
0.014078595134687094,0.04963691442288027,0.09497791139372769,-719.7878860057832,1409.6923270237558,1390.2720829471946,19.420244076561083,0.7000159338447114,3259.8690434431683,0.670988788683405,0.00013806217403486125,149.19879008130115,1020.8749338611531,1
0.014078595134687094,0.04963691442288027,0.09497791139372769,-719.7878860057832,1409.6923270237558,1390.2720829471946,19.420244076561083,0.7000159338447114,3259.8690434431683,0.670988788683405,0.00013806217403486125,149.19879008130115,1020.8749338611531,1
0.021602542916999756,0.00519266176633381,0.09211390306278644,-719.9833402452286,1410.0832355026466,1390.3336214125156,19.749614090130965,0.7004742187288429,3259.8690434431683,0.6716962800387047,0.00012978068275351285,149.20808807677264,1020.8749338611531,1
0.017564917974459155,0.013088992070140418,0.01074683359302768,-718.7628715411813,1407.642298094552,1390.296340458095,17.34595763645678,0.7002446030894648,3259.8690434431683,0.6712701838865591,1.7462142723677254e-06,149.35667744264853,1020.8749338611531,1
0.017564917974459155,0.013088992070140418,0.01074683359302768,-718.7628715411813,1407.642298094552,1390.296340458095,17.34595763645678,0.7002446030894648,3259.8690434431683,0.6712701838865591,1.7462142723677254e-06,149.35667744264853,1020.8749338611531,1
0.012710877704048065,0.015138518055571521,0.05668618113850468,-719.0074218607826,1408.1313987337546,1390.261985771358,17.869412962396574,0.7000794344163555,3259.8690434431683,0.6708854174262215,4.879766507273557e-05,149.30092849081356,1020.8749338611531,1
0.021699834866882265,0.03307798362348557,0.1133700695193674,-720.5991594748477,1411.3148739618848,1390.337458372116,20.97741558976865,0.7002818799560195,3259.8690434431683,0.6717160259025694,0.0001974692146170557,149.13301768053717,1020.8749338611531,1
0.03442485097287001,0.04299690348126743,0.08388080006370832,-720.5667269831712,1411.2500089785315,1390.5132742747664,20.736734703765112,0.7006746030110136,3259.869043443168,0.6736042540195304,0.00010742651316332149,149.23335792463376,1020.8749338611531,1
0.03294017390437046,0.04090772611685222,0.0763972084108531,-720.285873075356,1410.6883011629013,1390.487961344421,20.20033981848031,0.7006431534481989,3259.8690434431683,0.6733366120981615,8.897195723964471e-05,149.25441734192523,1020.8749338611531,1
0.03294017390437046,0.04090772611685222,0.0763972084108531,-720.285873075356,1410.6883011629013,1390.487961344421,20.20033981848031,0.7006431534481989,3259.8690434431683,0.6733366120981615,8.897195723964471e-05,149.25441734192523,1020.8749338611531,1
0.03294017390437046,0.04090772611685222,0.0763972084108531,-720.285873075356,1410.6883011629013,1390.487961344421,20.20033981848031,0.7006431534481989,3259.8690434431683,0.6733366120981615,8.897195723964471e-05,149.25441734192523,1020.8749338611531,1
0.03294017390437046,0.04090772611685222,0.0763972084108531,-720.285873075356,1410.6883011629013,1390.487961344421,20.20033981848031,0.7006431534481989,3259.8690434431683,0.6733366120981615,8.897195723964471e-05,149.25441734192523,1020.8749338611531,1
0.03967877615827612,0.033237587202791526,0.060315215201563556,-720.4969428230293,1411.1104406582479,1390.6074147745967,20.50302588365119,0.7011496231824724,3259.8690434431683,0.6746209190201212,5.528146379491769e-05,149.2933572453593,1020.8749338611531,1
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
