beta0,nu2,x_ini,logpost,chi2_total,chi2_sn,chi2_bao,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag
0.03039389223055767,0.015540168561805486,0.026271473728498355,-719.4079373628664,1408.9324297379221,1390.4433862417936,18.489043496128442,0.7008798658844962,3259.8690434431683,0.6728935270995892,1.0439216009811722e-05,149.3462666028733,1020.8749338611531
0.03039389223055767,0.015540168561805486,0.026271473728498355,-719.4079373628664,1408.9324297379221,1390.4433862417936,18.489043496128442,0.7008798658844962,3259.8690434431683,0.6728935270995892,1.0439216009811722e-05,149.3462666028733,1020.8749338611531
0.03039389223055767,0.015540168561805486,0.026271473728498355,-719.4079373628664,1408.9324297379221,1390.4433862417936,18.489043496128442,0.7008798658844962,3259.8690434431683,0.6728935270995892,1.0439216009811722e-05,149.3462666028733,1020.8749338611531
0.0223002975668604,0.01688595238570703,0.046739472311321764,-719.1929905047973,1408.502536021784,1390.3415641263127,18.160971895471285,0.7004219693437143,3259.8690434431683,0.67177209509822,3.312159000950758e-05,149.3193418570453,1020.8749338611531
0.021525391081620136,0.017500657169329407,0.07043995908000991,-719.5168128761114,1409.1501807644122,1390.333730712533,18.816450051879194,0.7003828729167221,3259.8690434431683,0.6716854353513991,7.554527897401734e-05,149.26985734992186,1020.8749338611531
0.02638922380401568,0.016106241675864677,0.07436681993532737,-719.8239969726861,1409.7645489575616,1390.389311797917,19.375237159644723,0.7006357747733869,3259.8690434431683,0.6723016403774775,8.427020439447104e-05,149.25981256047,1020.8749338611531
0.030081506134701872,0.013735078794095919,0.006601441671478123,-719.3044883009957,1408.7255316141807,1390.4383795186877,18.287152095492935,0.7008844354282631,3259.8690434431683,0.6728411251204723,6.596237103699563e-07,149.35798244085476,1020.8749338611531
0.029486655998279727,0.016112359318206863,0.02700782224203622,-719.3609640565635,1408.8384831253163,1390.4304120391607,18.408071086155694,0.7008154980418938,3259.8690434431683,0.6727507966497985,1.1033275020911241e-05,149.34555704605222,1020.8749338611531
0.03499243836317587,0.014925640356745932,0.03258954171120961,-719.7533332246405,1409.6232214614704,1390.5160656422377,19.107155819232823,0.7012059225975373,3259.8690434431683,0.6736859398964232,1.607354864080371e-05,149.3395464745129,1020.8749338611531
0.042481985815474035,0.010165083279727873,0.05225550362277173,-720.589714187414,1411.2959833870173,1390.656802996993,20.639180390024258,0.7019451193544002,3259.8690434431683,0.6752127080421804,4.143651188202779e-05,149.3095557370018,1020.8749338611531
0.03757607458856501,0.016268684363340287,0.06495787512075431,-720.3882622618604,1410.8930795359101,1390.5625558197498,20.330523716160275,0.7013757518792005,3259.8690434431683,0.6741859809446279,6.417504218350832e-05,149.28301347643566,1020.8749338611531
0.03253760395698913,0.016902077113708117,0.06284565705935083,-719.9800441764245,1410.0766433650383,1390.4766207113862,19.600022653652207,0.700999943994054,3259.8690434431683,0.67325493799094,6.0045353955710836e-05,149.28781065336108,1020.8749338611531
0.03397422523014363,0.022405144184928664,0.0776026841514401,-720.3734701550012,1410.8634953221917,1390.5012786015868,20.36221672060491,0.7010038713291872,3259.8690434431683,0.6735122046218586,9.182501200089077e-05,149.2511494744617,1020.8749338611531
0.028446372503927248,0.028388281481793794,0.08074176372238442,-720.0804656727831,1410.2774863577556,1390.4183652848005,19.85912107295499,0.7006053359011578,3259.8690434431683,0.6726038153421884,9.946988903963235e-05,149.24241507004672,1020.8749338611531
0.02399794566292575,0.030010869605573066,0.11914779264715429,-720.9070877026716,1411.9307304175325,1390.3626989349723,21.568031482560272,0.700391840902079,3259.8690434431683,0.6719959647490037,0.00021835059229141247,149.11025295836362,1020.8749338611531
0.021111709770678555,0.032879315197936576,0.12365679296511084,-720.9175294497055,1411.9516139116004,1390.331542544067,21.62007136753342,0.7002636806120685,3259.8690434431683,0.6716515679995426,0.00023537934587117997,149.09181163585683,1020.8749338611531
0.016588518498808297,0.03692037349237641,0.12283425182865627,-720.6970508915538,1411.5106567952969,1390.2905610650778,21.22009573021907,0.7001108384678646,3259.8690434431683,0.6711972355105362,0.00023222518448112636,149.09521938604416,1020.8749338611531
